order_id,customer_id,sku,quantity,unit_price,discount,ordered_at,status,channel,received_at,gift_wrap
O-1001,C001,SKU-100,2,48.00,,2026-03-01T10:15:00,PLACED,web,2026-03-01T23:00:00,false
O-1001,C001,SKU-201,1,32.00,2.00,2026-03-01T10:15:00,placed,web,2026-03-01T23:00:00,true
O-1002,C002,sku-101,1,72.50,,2026-03-01T14:02:00,Shipped,mobile,2026-03-01T23:00:00,false
O-1002,C002,SKU-101,1,72.50,,2026-03-01T14:02:00,placed,web,2026-03-01T20:00:00,false
O-1003,C003,SKU-200,3,95.00,15.00,2026-03-02T09:30:00,delivered,web,2026-03-02T23:00:00,false
,C003,SKU-100,1,48.00,,2026-03-02T12:00:00,placed,web,2026-03-02T23:00:00,false
O-1004,C004,SKU-300,1,64.00,,2026-03-02T16:45:00,placed,store,2026-03-02T23:00:00,false
O-1005,C005,SKU-100,4,48.00,10.00,2026-03-03T08:00:00,paid,web,2026-03-03T23:00:00,false
O-1008,C005,SKU-201,1,32.00,32.00,2026-03-03T10:00:00,placed,web,2026-03-03T23:00:00,false
O-1006,C001,SKU-900,1,25.00,,2026-03-03T19:20:00,placed,mobile,2026-03-03T23:00:00,false
O-1009,C999,SKU-100,1,48.00,,2026-03-04T09:00:00,placed,web,2026-03-04T23:00:00,false
O-1007,C006,SKU-201,2,32.00,,2026-03-04T11:11:00,placed,web,2026-03-04T23:00:00,false
O-1010,C002,SKU-300,1,64.00,,2026-03-04T15:00:00,pending,store,2026-03-04T23:00:00,false
O-1011,C001,SKU-100,1,48.00,,2026-03-09T10:00:00,placed,web,2026-03-09T23:00:00,false
